qseqid	sseqid	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore
Ljchlorog3v0000020.1	O98736.1	100.00	282	0	0	1	282	37	318	0.0	568
Ljchlorog3v0000020.1	Q01366.2	100.00	282	0	0	1	282	37	318	0.0	568
Ljchlorog3v0000020.1	P11848.3	100.00	282	0	0	1	282	37	318	0.0	568
Ljchlorog3v0000020.1	P02957.3	100.00	282	0	0	1	282	37	318	0.0	568
Ljchlorog3v0000020.1	P36491.2	100.00	282	0	0	1	282	37	318	0.0	568
Ljchlorog3v0000020.1	P83755.2	100.00	282	0	0	1	282	37	318	0.0	568
Ljchlorog3v0000020.1	P69560.2	100.00	282	0	0	1	282	37	318	0.0	568
Ljchlorog3v0000020.1	Q6ENJ7.1	100.00	282	0	0	1	282	37	318	0.0	568
Ljchlorog3v0000020.1	Q3BAR4.1	100.00	282	0	0	1	282	37	318	0.0	568
Ljchlorog3v0000020.1	Q3V554.1	100.00	282	0	0	1	282	37	318	0.0	568
Ljchlorog3v0000020.1	A4QJI0.1	100.00	282	0	0	1	282	37	318	0.0	568
Ljchlorog3v0000020.1	A8SE40.1	100.00	282	0	0	1	282	37	318	0.0	568
Ljchlorog3v0000020.1	A7Y395.1	100.00	282	0	0	1	282	37	318	0.0	568
Ljchlorog3v0000020.1	A4QL86.1	100.00	282	0	0	1	282	37	318	0.0	568
Ljchlorog3v0000020.1	P02956.1	99.65	282	1	0	1	282	37	318	0.0	568
Ljchlorog3v0000020.1	P06585.3	100.00	282	0	0	1	282	37	318	0.0	568
Ljchlorog3v0000020.1	P04999.3	100.00	282	0	0	1	282	37	318	0.0	568
Ljchlorog3v0000020.1	Q9BBU3.1	100.00	282	0	0	1	282	37	318	0.0	568
Ljchlorog3v0000020.1	Q2QDA8.1	100.00	282	0	0	1	282	37	318	0.0	568
Ljchlorog3v0000020.1	A6MM16.1	99.65	282	1	0	1	282	37	318	0.0	568
Ljchlorog3v0000020.1	A8W3A5.1	100.00	282	0	0	1	282	37	318	0.0	568
Ljchlorog3v0000020.1	P10510.3	99.65	282	1	0	1	282	37	318	0.0	567
Ljchlorog3v0000020.1	P32036.1	99.65	282	1	0	1	282	37	318	0.0	567
Ljchlorog3v0000020.1	A9L976.1	99.65	282	1	0	1	282	37	318	0.0	567
Ljchlorog3v0000020.1	P05337.1	99.65	282	1	0	1	282	37	318	0.0	567
Ljchlorog3v0000020.1	P04998.1	99.65	282	1	0	1	282	37	318	0.0	567
Ljchlorog3v0000020.1	Q6L3B5.1	99.65	282	1	0	1	282	37	318	0.0	567
Ljchlorog3v0000020.1	A1E9Y8.1	99.65	282	1	0	1	282	37	318	0.0	567
Ljchlorog3v0000020.1	P48183.1	99.65	282	1	0	1	282	37	318	0.0	566
Ljchlorog3v0000020.1	Q6EW68.1	99.29	282	2	0	1	282	37	318	0.0	566
Ljchlorog3v0000020.1	A4QK85.1	99.65	282	1	0	1	282	37	318	0.0	566
Ljchlorog3v0000020.1	A0ZZ15.1	99.65	282	1	0	1	282	37	318	0.0	566
Ljchlorog3v0000020.1	Q33282.1	99.65	282	1	0	1	282	37	318	0.0	566
Ljchlorog3v0000020.1	Q68S26.1	99.65	282	1	0	1	282	37	318	0.0	566
Ljchlorog3v0000020.1	A4QLH5.1	99.65	282	1	0	1	282	37	318	0.0	566
Ljchlorog3v0000020.1	P18290.1	99.65	282	1	0	1	282	37	318	0.0	566
Ljchlorog3v0000020.1	Q7YJY8.1	99.65	282	1	0	1	282	37	318	0.0	566
Ljchlorog3v0000020.1	A6MMI8.1	99.29	282	2	0	1	282	37	318	0.0	566
Ljchlorog3v0000020.1	A6MMS4.1	99.65	282	1	0	1	282	37	318	0.0	566
Ljchlorog3v0000020.1	Q09MJ8.1	99.65	282	1	0	1	282	37	318	0.0	565
Ljchlorog3v0000020.1	Q09X37.1	99.65	282	1	0	1	282	37	318	0.0	565
Ljchlorog3v0000020.1	A6MMA2.1	99.65	282	1	0	1	282	37	318	0.0	565
Ljchlorog3v0000020.1	B1VKF9.1	99.29	282	2	0	1	282	37	318	0.0	565
Ljchlorog3v0000020.1	P13910.2	99.29	282	2	0	1	282	37	318	0.0	565
Ljchlorog3v0000020.1	P27201.3	98.94	282	3	0	1	282	37	318	0.0	565
Ljchlorog3v0000020.1	Q85BH5.1	98.94	282	3	0	1	282	37	318	0.0	565
Ljchlorog3v0000020.1	Q8WI36.1	99.29	282	2	0	1	282	37	318	0.0	565
Ljchlorog3v0000020.1	A0A315.1	99.29	282	2	0	1	282	37	318	0.0	564
Ljchlorog3v0000020.1	P06402.1	98.94	282	3	0	1	282	37	318	0.0	564
Ljchlorog3v0000020.1	Q09FY1.1	99.29	282	2	0	1	282	37	318	0.0	564
Ljchlorog3v0000020.1	Q2WGI0.1	98.94	282	3	0	1	282	37	318	0.0	564
Ljchlorog3v0000020.1	Q0ZJ40.1	99.29	282	2	0	1	282	37	318	0.0	564
Ljchlorog3v0000020.1	A2T309.1	98.94	282	3	0	1	282	37	318	0.0	564
Ljchlorog3v0000020.1	A4QJ96.1	99.29	282	2	0	1	282	37	318	0.0	563
Ljchlorog3v0000020.1	Q9TNF7.1	98.58	282	4	0	1	282	37	318	0.0	563
Ljchlorog3v0000020.1	Q9TNF8.1	98.94	282	3	0	1	282	37	318	0.0	563
Ljchlorog3v0000020.1	Q9T351.2	98.58	282	4	0	1	282	37	318	0.0	563
Ljchlorog3v0000020.1	P69550.2	98.58	282	4	0	1	282	37	318	0.0	563
Ljchlorog3v0000020.1	Q85C23.1	98.58	282	4	0	1	282	37	318	0.0	563
Ljchlorog3v0000020.1	Q1ACM1.1	98.23	282	5	0	1	282	37	318	0.0	563
Ljchlorog3v0000020.1	Q85WS3.1	98.58	282	4	0	1	282	37	318	0.0	562
Ljchlorog3v0000020.1	Q5SCW8.1	98.58	282	4	0	1	282	37	318	0.0	562
Ljchlorog3v0000020.1	A6BM28.1	98.23	282	5	0	1	282	37	318	0.0	561
Ljchlorog3v0000020.1	P50155.2	98.23	282	5	0	1	282	37	318	0.0	560
Ljchlorog3v0000020.1	Q32RM3.1	97.52	282	7	0	1	282	37	318	0.0	560
Ljchlorog3v0000020.1	Q8M9W3.1	97.52	282	7	0	1	282	37	318	0.0	560
Ljchlorog3v0000020.1	Q70Y17.2	98.23	282	5	0	1	282	37	318	0.0	559
Ljchlorog3v0000020.1	Q19VC4.2	96.81	282	9	0	1	282	37	318	0.0	557
Ljchlorog3v0000020.1	B0YPN1.1	97.87	282	6	0	1	282	37	318	0.0	557
Ljchlorog3v0000020.1	A7M8Y6.2	96.45	282	10	0	1	282	37	318	0.0	555
Ljchlorog3v0000020.1	Q20ET2.1	96.45	282	10	0	1	282	37	318	0.0	554
Ljchlorog3v0000020.1	Q1KVU8.1	95.39	282	13	0	1	282	37	318	0.0	554
Ljchlorog3v0000020.1	P56318.1	96.45	282	10	0	1	282	37	318	0.0	552
Ljchlorog3v0000020.1	Q9TL35.1	96.10	282	11	0	1	282	37	318	0.0	551
